Vehicle ID,Model Code,OEM Model,OEM Variant,Custom Model,Custom Variant,Display Name,Segment,Sub Segment,Colour Code,Colour,Fuel,Seating,Wheels,Transmission,Drivetrain,Body Make,Body Type,CC,GVW,Permit,Taxi Price,Status
5273,AW62AYZT7TF10A00SF,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,SF,DAZZLING SILVER,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5274,AW62AYZT7TF10A00RA,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,RA,RA,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5275,AW62AYZT7TF10A00JD,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,JD,DEEP FOREST,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5276,AW62AYZT7TF10A00CM,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,CM,CM,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5277,AW62AYZT7TF10A00BZ,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,BZ,MIDNIGHT BLACK,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5278,AW62AYZT7TF10A00BA,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,BA,BA,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
911,AW62AYZT7TF05A00WR,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,WR,WR,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
912,AW62AYZT7TF05A00RZ,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,RZ,RZ,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
913,AW62AYZT7TF05A00SN,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,SN,SN,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
914,AW62AYZT7TF05A00BC,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BC,BC,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
915,AW62AYZT7TF05A00BT,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BT,BT,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
4612,AW62AYZT7TF05A00RS,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,RS,RS,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
4613,AW62AYZT7TF05A00SH,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,SH,SH,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
